Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
02-Jan-23,EQ,769.9,771,758.1,766.95,762,762.3,762.62,861.15,650.2,"10,61,086","80,92,08,747.60","40,877"
30-Dec-22,EQ,778,782.3,765,776.1,772,766.95,771.88,861.15,650.2,"7,15,796","55,25,06,235.30","30,964"
29-Dec-22,EQ,779,779,763.1,780.15,776.05,776.1,769.32,861.15,650.2,"16,91,955","1,30,16,54,896.95","49,574"
28-Dec-22,EQ,778,782.9,773.15,777.85,780,780.15,778.89,861.15,650.2,"6,10,240","47,53,09,723.85","24,574"
27-Dec-22,EQ,778.8,781,770.6,775.3,777.7,777.85,775.42,861.15,650.2,"6,01,101","46,61,04,451.10","28,453"
26-Dec-22,EQ,779,783.7,773,779,775.75,775.3,776.27,861.15,650.2,"10,14,226","78,73,14,187.05","43,288"
23-Dec-22,EQ,793.05,797.9,775.8,798.65,780.15,779,784.37,861.15,650.2,"12,16,647","95,42,95,402.45","51,177"
22-Dec-22,EQ,802.75,809,787,802.6,797.15,798.65,796.64,861.15,650.2,"10,17,965","81,09,49,218.50","31,667"
21-Dec-22,EQ,809,811.9,801,808.3,802.6,802.6,806.27,861.15,650.2,"8,11,513","65,43,02,487.90","30,312"
20-Dec-22,EQ,808.5,809.95,800.1,808.85,807.7,808.3,804.75,861.15,650.2,"6,77,159","54,49,46,893.05","21,725"
19-Dec-22,EQ,801.15,810,798.45,801.55,807.05,808.85,804.69,861.15,650.2,"11,20,217","90,14,31,575.30","38,718"
16-Dec-22,EQ,803.3,804.95,795,804.9,802.55,801.55,801.22,861.15,650.2,"8,49,333","68,05,01,342.05","29,839"
15-Dec-22,EQ,815.4,815.45,802.05,815.45,803,804.9,806.9,861.15,650.2,"7,83,051","63,18,45,876.55","32,265"
14-Dec-22,EQ,808.4,817,807.35,807.6,813.1,815.45,812.6,861.15,650.2,"9,71,275","78,92,53,255.55","30,384"
13-Dec-22,EQ,812,814.45,804.7,810.05,806.8,807.6,810.09,861.15,650.2,"12,24,742","99,21,57,231.80","36,060"
12-Dec-22,EQ,803,813,799.2,803.3,811.15,810.05,807.11,861.15,650.2,"9,48,219","76,53,18,959.95","36,433"
09-Dec-22,EQ,804.2,809.9,801,804.2,802,803.3,805.93,861.15,650.2,"10,80,966","87,11,85,473.70","33,000"
08-Dec-22,EQ,800.55,807.95,796.5,799.35,803.2,804.2,804.03,861.15,650.2,"8,05,216","64,74,14,366.35","26,232"
07-Dec-22,EQ,799.9,806.5,797.05,797.65,799,799.35,801.39,861.15,650.2,"20,20,441","1,61,91,66,079.60","38,629"
06-Dec-22,EQ,800,800,793.55,800.5,798.95,797.65,796.69,861.15,650.2,"8,26,214","65,82,38,972.60","22,794"
05-Dec-22,EQ,795.55,803,788.6,795.55,799,800.5,796.84,861.15,650.2,"15,40,201","1,22,72,98,316.65","36,748"
02-Dec-22,EQ,810,812.5,792.2,813.2,795.05,795.55,799.11,861.15,650.2,"28,82,169","2,30,31,82,417.00","47,166"
01-Dec-22,EQ,821.9,821.9,810.15,818.05,811.05,813.2,813.9,861.15,650.2,"9,66,282","78,64,55,913.95","29,759"
30-Nov-22,EQ,805.05,821.95,804.25,805.05,816,818.05,815.49,861.15,650.2,"33,90,682","2,76,50,72,327.75","49,628"
29-Nov-22,EQ,804.95,811.9,803.05,804.3,804.8,805.05,807.5,861.15,650.2,"12,78,339","1,03,22,59,772.30","38,851"
28-Nov-22,EQ,789,808.9,785,789.15,804,804.3,798.96,861.15,650.2,"20,43,706","1,63,28,42,936.40","45,194"
25-Nov-22,EQ,798.75,799.5,780,792.75,788.4,789.15,788.39,861.15,650.2,"23,85,612","1,88,08,04,103.10","46,263"
24-Nov-22,EQ,787.85,795,781.25,770.15,793.2,792.75,789.21,861.15,650.2,"62,11,909","4,90,24,74,362.90","94,677"
23-Nov-22,EQ,773.1,776,765,771.3,771,770.15,770.04,861.15,650.2,"8,75,779","67,43,81,245.35","22,040"
22-Nov-22,EQ,771,776.9,766.2,770.95,772,771.3,772.42,861.15,650.2,"8,68,523","67,08,62,909.85","26,170"
21-Nov-22,EQ,774.3,775.45,762.3,775.7,770.4,770.95,769.1,861.15,650.2,"7,60,664","58,50,25,928.80","24,820"
18-Nov-22,EQ,789.35,793,769.25,786,777,775.7,781.02,861.15,650.2,"14,17,103","1,10,67,90,895.50","39,877"
17-Nov-22,EQ,766,789.45,766,769.55,784.5,786,784.11,861.15,650.2,"29,44,879","2,30,91,07,427.95","74,382"
16-Nov-22,EQ,772.75,774.2,764.8,772.75,770,769.55,767.31,861.15,650.2,"10,71,710","82,23,37,913.50","24,297"
15-Nov-22,EQ,767.75,774,763.5,767.75,773.65,772.75,768.02,861.15,650.2,"7,56,436","58,09,54,522.05","21,028"
14-Nov-22,EQ,773.35,775,766.5,773.2,767.1,767.75,768.9,861.15,650.2,"7,08,750","54,49,59,865.25","26,238"
11-Nov-22,EQ,772.55,779.85,770.05,768.7,771.8,773.2,774.2,861.15,650.2,"9,21,004","71,30,37,070.85","34,310"
10-Nov-22,EQ,770,771.7,762.05,770.15,767.75,768.7,766.34,861.15,650.2,"8,39,329","64,32,07,915.30","50,010"
09-Nov-22,EQ,778.5,781.8,765.85,772.15,770.2,770.15,773.21,861.15,650.2,"12,56,533","97,15,61,640.60","32,438"
07-Nov-22,EQ,768.15,776.45,764.3,764.3,770.05,772.15,770.2,861.15,650.2,"10,04,208","77,34,38,250.20","44,322"
04-Nov-22,EQ,761,767,759.2,762.75,766,764.3,763,861.15,650.2,"9,40,199","71,73,74,810.60","58,047"
03-Nov-22,EQ,768.05,770,756.65,768.05,764,762.75,762.15,861.15,650.2,"15,73,795","1,19,94,69,401.30","69,208"
02-Nov-22,EQ,776,778.2,764.7,774.85,767.25,768.05,768.43,861.15,650.2,"10,73,726","82,50,84,414.40","25,701"
01-Nov-22,EQ,773,784.5,767.4,770.15,774.25,774.85,774.23,861.15,650.2,"18,93,673","1,46,61,47,505.90","51,026"
31-Oct-22,EQ,765.2,772.45,761.9,761.35,770.35,770.15,766.62,861.15,650.2,"9,97,865","76,49,84,512.65","33,529"
28-Oct-22,EQ,773.45,773.45,759.5,770.05,761.4,761.35,761.88,861.15,650.2,"15,98,314","1,21,77,20,480.35","36,149"
