Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
05-Mar-21,EQ,965.2,980.9,957,968.05,961.1,959.7,967.37,"1,081.55",471.4,"26,18,145","2,53,27,15,941.65","57,008"
04-Mar-21,EQ,960,994.7,955.6,976,969,968.05,979.55,"1,081.55",471.4,"51,34,954","5,02,99,62,101.90","1,09,264"
03-Mar-21,EQ,972.2,980.2,961.45,967.1,974.2,976,972.31,"1,081.55",471.4,"32,03,532","3,11,48,39,370.60","80,317"
02-Mar-21,EQ,944.5,971,942,936,968,967.1,959.36,"1,081.55",471.4,"37,03,190","3,55,27,07,996.80","89,349"
01-Mar-21,EQ,935.45,957,926.35,918.85,937.95,936,941.96,"1,081.55",471.4,"34,29,569","3,23,05,25,595.05","78,989"
26-Feb-21,EQ,945,948.85,915,957.8,919.3,918.85,927.41,"1,081.55",471.4,"52,54,937","4,87,34,84,248.70","1,46,104"
25-Feb-21,EQ,964,969,952.25,960.05,958,957.8,959.56,"1,081.55",471.4,"36,82,791","3,53,38,68,588.60","1,21,288"
24-Feb-21,EQ,950,963.9,936.65,945.75,957.5,960.05,948.74,"1,081.55",471.4,"16,86,531","1,60,00,87,762.90","47,522"
23-Feb-21,EQ,952,962.75,931,950.7,945.5,945.75,948.28,"1,081.55",471.4,"41,20,032","3,90,69,48,276.95","1,08,181"
22-Feb-21,EQ,998.95,"1,011.00",941.9,993.95,947.4,950.7,970.6,"1,081.55",471.4,"59,46,290","5,77,14,98,029.75","1,47,792"
19-Feb-21,EQ,"1,013.65","1,019.20",972.65,"1,010.60",998.5,993.95,997.12,"1,081.55",471.4,"43,57,699","4,34,51,65,721.55","1,43,140"
18-Feb-21,EQ,982,"1,015.50",981.5,980.45,"1,013.65","1,010.60",999.29,"1,081.55",471.4,"67,42,595","6,73,78,01,436.90","1,39,766"
17-Feb-21,EQ,989,996.6,971.4,986.8,981.5,980.45,981.79,"1,081.55",471.4,"22,27,724","2,18,71,52,817.90","60,444"
16-Feb-21,EQ,990,"1,000.00",973.5,979.2,986.5,986.8,987.12,"1,081.55",471.4,"39,12,433","3,86,20,22,942.95","1,09,772"
15-Feb-21,EQ,996,996,977.5,991.2,982.9,979.2,984.46,"1,081.55",471.4,"24,87,825","2,44,91,67,905.60","59,893"
12-Feb-21,EQ,990,"1,009.00",986.25,985.6,989,991.2,997.15,"1,081.55",471.4,"58,63,879","5,84,71,88,678.15","1,21,883"
11-Feb-21,EQ,975,988.65,972.85,974.9,987,985.6,981.06,"1,081.55",471.4,"20,70,435","2,03,12,20,317.00","57,714"
10-Feb-21,EQ,975.5,980.25,957.6,975.1,977,974.9,969.06,"1,081.55",471.4,"27,76,301","2,69,04,06,933.80","1,01,957"
