Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
05-Dec-23,EQ,407.4,409,402.1,407.45,404.65,404.35,404.44,443.75,352,"55,82,684","2,25,78,60,909.45","94,367"
04-Dec-23,EQ,412.7,413,406.75,407.65,407.3,407.45,408.63,443.75,352,"53,31,236","2,17,85,24,098.90","92,832"
01-Dec-23,EQ,413.75,413.75,406.5,413.05,407.1,407.65,408.45,443.75,352,"49,15,213","2,00,76,34,999.60","94,634"
30-Nov-23,EQ,406.95,414.5,404.05,406.25,411.8,413.05,410.05,443.75,352,"99,12,979","4,06,48,52,962.85","1,39,985"
29-Nov-23,EQ,398,408.55,398,396.85,406.05,406.25,405.24,443.75,352,"77,72,043","3,14,95,35,327.95","1,08,955"
28-Nov-23,EQ,397,398.75,393.1,396,397.2,396.85,395.55,443.75,352,"40,72,657","1,61,09,43,054.25","93,527"
24-Nov-23,EQ,402.5,403.5,395.55,402.5,396,396,398.14,443.75,352,"31,25,283","1,24,42,99,168.60","69,437"
23-Nov-23,EQ,400.5,405,400.5,400.25,402.8,402.5,402.65,443.75,352,"48,38,680","1,94,83,12,363.15","94,371"
22-Nov-23,EQ,402.5,402.6,399.1,400.65,400.5,400.25,400.78,443.75,352,"26,59,291","1,06,57,89,721.10","65,892"
21-Nov-23,EQ,402.6,402.6,400.05,400.2,400.55,400.65,401.1,443.75,352,"27,20,124","1,09,10,38,207.50","72,441"
20-Nov-23,EQ,393.2,401.1,393.2,395.4,400.15,400.2,399.28,443.75,352,"43,05,248","1,71,89,88,192.75","85,321"
17-Nov-23,EQ,398,399,394.5,397.1,394.9,395.4,396.56,443.75,352,"39,43,464","1,56,38,30,351.00","84,552"
16-Nov-23,EQ,391.65,399.5,389.3,391.65,396.75,397.1,395.6,443.75,352,"69,21,788","2,73,82,42,303.60","1,24,565"
15-Nov-23,EQ,385.55,392.25,384.25,381.65,391.45,391.65,389.52,443.75,352,"53,96,259","2,10,19,67,980.65","1,25,802"
13-Nov-23,EQ,382.6,382.9,380,382.45,382.05,381.65,381.07,443.75,352,"17,92,951","68,32,34,046.35","63,717"
12-Nov-23,EQ,383.4,383.4,381.45,379.3,383,382.45,382.46,443.75,352,"10,11,662","38,69,19,203.35","39,907"
10-Nov-23,EQ,380.3,381.8,377,380.85,379.75,379.3,378.54,443.75,352,"53,55,350","2,02,72,15,362.30","95,452"
09-Nov-23,EQ,383,384,379.7,382.2,381.2,380.85,381.44,443.75,352,"46,15,563","1,76,05,64,503.10","85,875"
08-Nov-23,EQ,384.6,385.85,381.5,383.3,382.6,382.2,383.2,443.75,352,"35,51,026","1,36,07,52,175.85","81,593"
07-Nov-23,EQ,384.9,387,382.85,384.65,384,383.3,384.53,443.75,352,"28,46,089","1,09,44,13,257.15","73,620"
06-Nov-23,EQ,386,386.45,383,383.55,385.45,384.65,384.95,443.75,352,"24,69,968","95,08,11,621.70","64,533"
03-Nov-23,EQ,386,386.7,382.65,383.65,383.75,383.55,384.03,443.75,352,"26,45,764","1,01,60,51,515.80","66,538"
02-Nov-23,EQ,383.8,385.15,382.1,380.95,384,383.65,383.61,443.75,352,"23,71,365","90,96,80,621.95","76,797"
01-Nov-23,EQ,383.85,385.55,380.15,381.8,381,380.95,382.86,443.75,352,"21,20,976","81,20,33,838.95","63,993"
31-Oct-23,EQ,383.2,384.1,379.15,382,382.9,381.8,381.65,443.75,352,"30,76,768","1,17,42,57,250.05","81,595"
30-Oct-23,EQ,384,384.35,380.4,382.35,382.7,382,382.15,443.75,352,"23,44,372","89,59,02,136.95","85,164"
27-Oct-23,EQ,379.05,384.35,379.05,378.25,382.9,382.35,382.23,443.75,352,"31,01,406","1,18,54,53,978.15","1,02,257"
26-Oct-23,EQ,378.8,380.55,375.05,381.85,378.9,378.25,377.98,443.75,352,"54,97,791","2,07,80,44,658.85","1,55,825"
25-Oct-23,EQ,384.4,387.7,381.1,383.15,381.95,381.85,383.88,443.75,352,"33,39,147","1,28,18,42,932.25","1,08,480"
23-Oct-23,EQ,390.85,393,382.2,391.85,383,383.15,387.22,443.75,352,"44,18,913","1,71,10,82,132.75","1,18,406"
20-Oct-23,EQ,395.05,396.05,391,395.3,392,391.85,393.33,443.75,352,"42,14,668","1,65,77,48,683.80","1,17,931"
