Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
24-Sep-20,EQ,811,811.45,784,814.1,788,788.3,797.32,"1,170.00",375.25,"1,05,53,632","8,41,45,80,211.60","1,65,353"
23-Sep-20,EQ,832,844.8,810.15,821,815,814.1,827.51,"1,170.00",375.25,"1,80,70,371","14,95,34,62,393.55","2,80,008"
22-Sep-20,EQ,813.95,831.5,790.55,802.6,825.8,821,815.42,"1,170.00",375.25,"2,18,82,919","17,84,37,64,685.35","3,99,486"
21-Sep-20,EQ,823,849.9,793.45,810.6,801.15,802.6,830.79,"1,170.00",375.25,"2,49,11,675","20,69,62,85,172.90","4,03,669"
18-Sep-20,EQ,808.3,824,804,808.3,810,810.6,814.69,"1,170.00",375.25,"88,47,758","7,20,82,01,598.45","1,34,982"
17-Sep-20,EQ,794.95,817.5,789.5,789.25,806.3,808.3,807.67,"1,170.00",375.25,"1,99,72,987","16,13,16,26,946.25","2,66,753"
16-Sep-20,EQ,790.05,796.3,779.25,792.7,788.45,789.25,788.92,"1,170.00",375.25,"74,71,542","5,89,44,65,481.45","1,68,914"
15-Sep-20,EQ,791.05,809.85,783.05,794.95,791.8,792.7,795.47,"1,170.00",375.25,"1,40,24,787","11,15,63,11,755.85","1,92,773"
14-Sep-20,EQ,745,825.1,744.15,721.65,793,794.95,783.61,"1,170.00",375.25,"3,23,12,531","25,32,03,77,282.45","4,15,569"
11-Sep-20,EQ,712,734,710.15,722.4,720.05,721.65,723.23,"1,170.00",375.25,"72,21,687","5,22,29,54,988.80","1,20,764"
10-Sep-20,EQ,728.65,728.95,713.8,721.95,720.7,722.4,720.77,"1,170.00",375.25,"33,66,359","2,42,63,71,004.05","67,465"
09-Sep-20,EQ,712.1,730.9,710.2,725.9,722.6,721.95,721.31,"1,170.00",375.25,"55,14,179","3,97,74,32,747.85","1,01,369"
08-Sep-20,EQ,708.8,738.9,703.2,708.8,721.85,725.9,727.72,"1,170.00",375.25,"1,15,22,742","8,38,53,41,841.85","1,86,330"
07-Sep-20,EQ,696.35,712.4,689.05,700.8,707.05,708.8,702.03,"1,170.00",375.25,"42,38,823","2,97,58,01,272.85","89,393"
04-Sep-20,EQ,695.15,704.5,692.05,706.75,702,700.8,698.83,"1,170.00",375.25,"33,54,844","2,34,44,80,521.35","49,600"
03-Sep-20,EQ,704.8,716.4,697.6,701.95,707.8,706.75,708.45,"1,170.00",375.25,"54,68,161","3,87,39,14,728.00","1,00,811"
