Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
19-Nov-20,EQ,"1,100.00","1,114.70","1,093.80","1,110.55","1,097.00","1,096.75","1,102.13","1,186.00",509.25,"1,00,92,343","11,12,31,10,241.35","1,79,639"
18-Nov-20,EQ,"1,128.50","1,132.70","1,101.45","1,123.70","1,111.25","1,110.55","1,111.01","1,186.00",509.25,"98,39,468","10,93,17,65,778.50","1,68,106"
17-Nov-20,EQ,"1,144.75","1,145.00","1,112.65","1,133.45","1,125.25","1,123.70","1,122.20","1,186.00",509.25,"1,28,13,968","14,37,98,42,098.00","1,90,186"
14-Nov-20,EQ,"1,137.00","1,139.65","1,131.10","1,124.20","1,134.00","1,133.45","1,134.22","1,186.00",509.25,"11,36,144","1,28,86,40,516.00","41,663"
13-Nov-20,EQ,"1,120.00","1,133.00","1,117.00","1,117.75","1,123.45","1,124.20","1,124.07","1,186.00",509.25,"63,63,212","7,15,26,75,712.65","1,05,048"
12-Nov-20,EQ,"1,128.10","1,142.00","1,113.75","1,122.50","1,119.60","1,117.75","1,123.99","1,186.00",509.25,"91,80,976","10,31,93,10,973.00","1,96,511"
11-Nov-20,EQ,"1,096.00","1,126.35","1,087.00","1,091.05","1,123.50","1,122.50","1,108.04","1,186.00",509.25,"1,25,14,800","13,86,69,20,724.70","2,54,701"
10-Nov-20,EQ,"1,113.85","1,113.85","1,078.00","1,136.55","1,093.90","1,091.05","1,093.14","1,186.00",509.25,"1,56,22,869","17,07,79,41,182.65","3,95,983"
09-Nov-20,EQ,"1,129.30","1,146.00","1,121.15","1,112.75","1,135.10","1,136.55","1,133.25","1,186.00",509.25,"1,01,60,320","11,51,41,69,317.70","2,02,222"
06-Nov-20,EQ,"1,108.00","1,121.10","1,091.70","1,104.00","1,119.00","1,112.75","1,101.98","1,186.00",509.25,"88,07,127","9,70,52,43,123.55","1,54,736"
05-Nov-20,EQ,"1,109.90","1,123.00","1,099.00","1,093.95","1,104.95","1,104.00","1,108.49","1,186.00",509.25,"95,68,890","10,60,70,37,968.05","1,81,645"
04-Nov-20,EQ,"1,068.00","1,116.00","1,066.80","1,062.55","1,094.75","1,093.95","1,097.09","1,186.00",509.25,"1,57,02,690","17,22,72,73,081.60","3,07,084"
03-Nov-20,EQ,"1,072.00","1,079.40","1,057.50","1,072.30","1,062.00","1,062.55","1,066.37","1,186.00",509.25,"72,04,782","7,68,29,63,162.75","1,72,016"
02-Nov-20,EQ,"1,065.00","1,079.95","1,051.10","1,060.60","1,068.70","1,072.30","1,066.94","1,186.00",509.25,"71,83,119","7,66,39,61,600.20","1,37,700"
